	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	sig
TRH	3.90989031528196	-1.04839828625173	0.189864811284387	-5.52181459618336	3.35516423757721e-08	0.000724379958892919	down
HAND2-AS1	4.27327867329567	-0.823554839664528	0.189630770004215	-4.34293885768762	1.40589270869639e-05	0.0758830589518879	down
OGN	4.10301165506576	-0.85010448403985	0.19546431999008	-4.34915428085797	1.36663545142847e-05	0.0758830589518879	down
SLC6A2	4.26572434186044	-0.827459479304771	0.189836798224822	-4.35879390635749	1.30781199512745e-05	0.0758830589518879	down
PCDH10	3.19838580284901	-0.928412540492608	0.216385787489065	-4.29054306785063	1.78236714185293e-05	0.0769626131852095	down
FOSB	5.75456434927578	-0.704693367873092	0.166455713779264	-4.23351864513093	2.30063098791018e-05	0.082784371714968	down
LOC101060391	3.42065263120748	-0.894246529408095	0.213461872022811	-4.18925647439527	2.79869945251711e-05	0.0863198873997777	down
ANGPTL1	3.88202825679827	-0.82767884485958	0.200243013904314	-4.13337189009294	3.57479591985872e-05	0.0964748048871873	down
LOC102723918	2.72728024460749	-0.931733891285855	0.230931582980338	-4.0346750291197	5.46779192332185e-05	0.131166252916132	down
C16orf89	4.69726254392953	-0.725528292999615	0.185342451711347	-3.91452841106016	9.05810720956718e-05	0.17778594059505	down
ZFPM2	4.05628320971701	-0.776194659478875	0.197799055801477	-3.924157556434	8.70337635083492e-05	0.17778594059505	down
TCEAL7	4.82718744826431	-0.680262327687394	0.183387861932608	-3.70941849977715	0.000207735812337034	0.373751349029713	down
PEG3	5.43590847382367	-0.636471371442301	0.173516212424881	-3.66808013238442	0.000244378600368711	0.405856460150805	down
GPR133	4.27290827380268	-0.70848668355304	0.194469878496058	-3.64316926113266	0.000269301621389977	0.415301571843543	down
FUT9	3.51819019767247	-0.763111989404644	0.212745568233509	-3.58697008704338	0.000334542684042289	0.424869208733707	down
SCGB3A1	5.20394961102748	-0.651936645974741	0.180505591425121	-3.61172549186755	0.000304166442978594	0.424869208733707	down
TPTE2P6	4.1501565161885	-0.711538713470831	0.197864798434932	-3.59608540325995	0.00032304178225919	0.424869208733707	down
VSIG2	4.47608064833289	-0.675712256872221	0.190124570456912	-3.5540501432736	0.00037934687903891	0.45500550658056	down
WIF1	6.46478499255854	-0.57412597099849	0.162746637612052	-3.5277286180687	0.000419141637787609	0.47627726104392	down
CCL20	5.87597733963758	0.855515383979213	0.247203888394045	3.46076831370676	0.000538636164866585	0.561359912767695	up
FOS	6.69788727994845	-0.547636550919416	0.158409166796633	-3.45710139125013	0.000546019368602205	0.561359912767695	down
BEX1	6.61565476309537	-0.536670246488305	0.160584166182256	-3.3419873157308	0.000831808617835824	0.751618436808538	down
IHH	5.0896099226697	-0.608559231184255	0.181311258652552	-3.35643376868527	0.000789546291574572	0.751618436808538	down
KIAA1210	4.21677562221713	-0.6595945779874	0.198011421774508	-3.33109359084616	0.000865055129674087	0.751618436808538	down
LRFN5	4.21400730338619	-0.659634468219053	0.198777138497572	-3.31846244092657	0.000905144944743956	0.751618436808538	down
SFRP4	5.93397074486735	-0.561835586489258	0.168972318285383	-3.32501555396994	0.000884136024795891	0.751618436808538	down
